                              GENEMARK PREDICTIONS

Sequence: AD-820-E17_NODE_1_length_88502_cov_101.2_ID_1
Sequence file: seq.fna
Sequence length: 702326
GC Content:  34.52%
Window length: 96
Window step: 12
Threshold value: 0.500
---
Matrix: Heuristic, GC = 34
Matrix author: Borodovsky Laboratory - Georgia Tech, School of Biology, Atlanta, GA, USA
Matrix order: 2

List of Open reading frames predicted as CDSs, shown with alternate starts
(regions from start to stop codon w/ coding function >0.50)

Left      Right     DNA         Coding Avg   Start
end       end       Strand      Frame  Prob  Prob
--------  --------  ----------  -----  ----  ----

       3       323  direct      fr 3   0.80  ....  
     186       323  direct      fr 3   0.66  0.42  

     323      2125  direct      fr 2   0.77  0.95  
     506      2125  direct      fr 2   0.78  0.36  
     959      2125  direct      fr 2   0.85  0.43  
     980      2125  direct      fr 2   0.84  0.19  
    1133      2125  direct      fr 2   0.85  0.09  
    1274      2125  direct      fr 2   0.86  0.09  

    2217      2651  direct      fr 3   0.75  0.95  
    2376      2651  direct      fr 3   0.80  0.62  
    2391      2651  direct      fr 3   0.79  0.71  

    2760      4148  direct      fr 3   0.93  0.05  
    2883      4148  direct      fr 3   0.92  0.19  
    2991      4148  direct      fr 3   0.94  0.20  
    3225      4148  direct      fr 3   0.93  0.18  

    4158      6530  direct      fr 3   0.83  0.10  
    4254      6530  direct      fr 3   0.86  0.33  
    4437      6530  direct      fr 3   0.89  0.17  
    4551      6530  direct      fr 3   0.88  0.03  
    4566      6530  direct      fr 3   0.88  0.01  

    6539      6916  direct      fr 2   0.78  0.93  
    6614      6916  direct      fr 2   0.84  0.36  
    6638      6916  direct      fr 2   0.82  0.55  
    6722      6916  direct      fr 2   0.75  0.43  

    6969      9386  complement  fr 2   0.85  0.83  
    6969      9308  complement  fr 2   0.86  0.21  
    6969      9233  complement  fr 2   0.86  0.10  
    6969      9149  complement  fr 2   0.85  0.08  

    9389     10246  complement  fr 1   0.87  0.39  
    9389     10132  complement  fr 1   0.88  0.13  
    9389     10030  complement  fr 1   0.88  0.14  
    9389     10009  complement  fr 1   0.88  0.13  

   10387     10767  direct      fr 1   0.57  0.94  
   10429     10767  direct      fr 1   0.65  0.14  
   10468     10767  direct      fr 1   0.61  0.08  
   10474     10767  direct      fr 1   0.61  0.03  

   10786     11100  direct      fr 1   0.69  0.74  
   10921     11100  direct      fr 1   0.72  0.14  
