GeneMark.hmm PROKARYOTIC (Version 3.26)
Date: Tue May 26 05:57:03 2015
Sequence file name: seq.fna
Model file name: /home/genemark/parameters/prokaryotic/Sulfurimonas_denitrificans_DSM_1251/GeneMark_hmm_combined.mod
RBS: true
Model information: Sulfurimonas_denitrificans_DSM_1251

FASTA definition line: AD-820-E17_NODE_1_length_88502_cov_101.2_ID_1
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +          <3         323          321        1
    2        +         323        2125         1803        1
    3        +        2217        2651          435        1
    4        +        2760        4148         1389        1
    5        +        4158        6530         2373        1
    6        +        6539        6916          378        2
    7        -        6969        9386         2418        1
    8        -        9389       10246          858        1
    9        +       10387       10767          381        2
   10        +       10786       11100          315        1
   11        +       11093       11446          354        2
   12        -       11432       11512           81        1
   13        +       11693       11935          243        1
   14        +       11922       12191          270        2
   15        +       12584       15799         3216        2
   16        +       15793       16464          672        1
   17        +       16461       17357          897        1
   18        +       17333       17821          489        2
   19        +       17888       18421          534        1
   20        -       18455       20251         1797        1
   21        -       20358       21596         1239        1
   22        -       21638       22687         1050        1
   23        -       22691       23095          405        1
   24        -       23095       23562          468        1
   25        -       23578       24369          792        1
   26        -       24468       25316          849        1
   27        +       25682       26434          753        1
   28        +       26436       26786          351        1
   29        -       26764       27219          456        1
   30        +       27347       28183          837        1
   31        +       28200       30248         2049        2
   32        +       30395       31390          996        1
   33        +       31449       32042          594        1
   34        +       32229       33710         1482        1
   35        -       33718       34164          447        2
   36        -       34177       34776          600        1
   37        -       34829       35158          330        1
   38        +       35300       36265          966        1
   39        -       36262       37191          930        1
   40        -       37246       38217          972        1
   41        +       38285       38848          564        2
   42        +       38880       39716          837        1
   43        +       39713       40291          579        1
   44        +       40291       40509          219        1
   45        +       40509       40901          393        1
   46        +       40906       41424          519        1
   47        -       41431       42447         1017        1
   48        -       42469       43548         1080        2
   49        +       43659       44687         1029        2
   50        +       44961       45956          996        1
   51        -       45949       46086          138        1
   52        +       46180       48162         1983        1
   53        -       48215       48985          771        2
   54        +       49177       49968          792        1
   55        +       49978       50829          852        1
   56        +       50987       54355         3369        1
   57        +       54356       56845         2490        1
   58        +       56848       57822          975        2
   59        -       57847       58497          651        1
   60        -       58499       59863         1365        1
   61        +       60024       62021         1998        1
   62        +       62080       63141         1062        1
   63        +       63141       65621         2481        1
   64        +       65625       66902         1278        1
   65        -       66846       67682          837        1
   66        -       67711       69096         1386        1
   67        -       69099       69899          801        1
   68        +       70001       71182         1182        1
   69        +       71184       71741          558        1
   70        -       71752       73335         1584        1
   71        -       73351       73590          240        1
   72        -       73685       74311          627        1
   73        -       74311       75771         1461        1
   74        -       75842       76246          405        1
   75        +       76236       76505          270        2
   76        -       76746       77390          645        1
   77        +       77604       78563          960        2
   78        -       78550       78894          345        2
   79        -       78997       79410          414        1
   80        -       79400       79930          531        1
   81        +       80124       81299         1176        1
   82        +       81342       83537         2196        1
   83        +       83562       84752         1191        1
   84        -       84793       85035          243        1
   85        +       85214       85618          405        2
   86        +       85618       86532          915        1
